Sample ID/Group/Community,Master ID,Skeletal code,Skeletal element,Data type,14C date(s) that are newly published in this study,Published Study,Associated authors if this is a newly reported sample,Average Confidence Interval Date,Dating,Broad chronological / archaeological period,Analysis Label (grouping individuals of similar ancestry across diverse regions),Split Label  (grouping individuals of similar ancestry by site),Passed all analysis filters,Location,Country,Broad Geographic Region (Genetic clustering may sometimes differ),Latitude,Longitude,Gender,mtDNA haplogroup,Y chromosome haplogroup,Y chromosome determination strategy,"Whole genome average coverage across 1,150,639 targeted autosomal SNPs","Whole genome SNPs (number of 1,150,639 targeted autosomal SNPs covered by at least once sequence)",X-contamination point estimate from ANGSD on non-damage-restricted data if male and ≥200 SNPs,X-contamination Z-score from ANGSD on non-damage-restricted data if male and ≥200 SNPs,Library ID(s),UDG treatment by library (minus=untreated; half=treated except in last nucleotides; plus=treated over all nucleotides),damage by library in sequences aligning to nuclear targets,mtDNA match rate to consensus by library (for all sequences and thus without damage restriction),"Assessment of data quality (notes in parentheses included if match rate to the mtDNA consensus sequence is <0.95 or X chromosome contamination estimate in males is significantly non-zero, or ratio of sequences matching Y and X chromosome is unexpected for a male or female)"
I4081,I4081,OSTCOR1a+OSTCOR1b,tooth (premolar),separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),9335,"7580-7190 calBCE (8369±73 BP, OxA-31595)",M / N,WEHG,Iron_Gates_HG,Yes,Ostrovul Corbului,Romania,Europe,44.517,22.722,M,H13,R1b1a(xR1b1a1a,manual,0.326,311701,..,..,"S4081.E1.L1,S4082.E1.L1","half,half","0.088,0.088","0.997,1",PASS
I4630,I4630,ZVEJ30,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),9222,7465-7078 calBCE (8240±70 BP),M / N,Latvia_HG,Latvia_HG,Yes,Zvejnieki,Latvia,Europe,56.2833,25.1333,M,U5a2c,R1b1a1a(xR1b1a1a2),manual,2.426,765342,..,..,S4630.E1.L1,half,0.084,0.984,PASS (Xcontam=0.007)
WC1.SG,WC1,n-10,petrous,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,BroushakiScience2016,n/a (previously reported),9219,"7455-7082 calBCE (8240±56 BP, UBA-25840)",M / N,Zagros_N.SG,Wezmeh_N.SG,Yes,"Wezmeh Cave, Central Zagros",Iran,Iran / Turan,34.6129,47.1057,M,J1d6,G2b2,manual,10.388,1180203,..,..,..,minus,..,..,PASS
I1704,I1704,AG89_1,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),9202,"7446-7058 calBCE (8190±60 BP, Poz-81095, date suspect because C:N ratio of 4.72)",M / N,PPN,PPNB,Yes,'Ain Ghazal,Jordan,West Asia,31.988,35.976,F,T1a,n/a (female),n/a (female),0.164,167085,n/a (female),n/a (female),S1704.E1.L1,half,0.187,0.827,QUESTIONABLE (mtcontam=0.827)
I4607,I4607,SCCL_46/1,bone (long bone),separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8940,"7340-6640 calBCE (8047±122 BP, OxA-4380)",M / N,WEHG,Iron_Gates_HG,Yes,Schela Cladovei,Romania,Europe,44.629711,22.6125561,M,U5a2,I2,manual,0.326589,321541,..,..,"S4607.E1.L2,S4607.E1.L3,S4607.E1.L4,S4607.E1.L5","half,half,half,half","0.114,0.117,0.12,0.118","1,0.994,0.999,1",PASS
I5401,I5401,HJDK_8,tooth (molar),separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8838,"7076-6699 calBCE (8016±58 BP, OxA-13613, corrected for Freshwater Reservoir Effect)",M / N,WEHG,Iron_Gates_HG,Yes,Hajduka Vodenica,Serbia,Europe,44.640262,22.30333,M,U5a1,I2a2,manual,0.543,469437,..,..,S5401.E1.L1,half,0.099,1,PASS
I1679,I1679,AG037C,petrous,separate nuclear and mtDNA target enrichment,no 14C date,LazaridisNature2016,n/a (previously reported),8800,6900-6800 BCE,M / N,PPN,PPNC,Yes,'Ain Ghazal,Jordan,West Asia,31.988,35.976,F,I,n/a (female),n/a (female),0.04,45791,n/a (female),n/a (female),S1679.E1.L1,half,0.146,0.844,QUESTIONABLE (mtcontam=0.844)
I4655_published,I4655,SCCL_50,bone (long bone),separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8765,"7060-6570 calBCE (7904±93 BP, OxA-8581)",M / N,WEHG,Iron_Gates_HG,Yes,Schela Cladovei,Romania,Europe,44.629711,22.6125561,M,K1,R,manual,0.052,59405,..,..,S4655.E1.L1,half,0.115,0.999,PASS
I4916,I4916,HJDK_31,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8763,"7035-6590 calBCE (7874±72 BP, PSUAMS-2369 corrected for freshwater marine reservoir effect with Method 1 of Cook et al. 2002 with the modifications recommended by Cook et al. 2011)",M / N,WEHG,Iron_Gates_HG,Yes,Hajduka Vodenica,Serbia,Europe,44.640262,22.30333,M,U5b2b,R1b1a(xR1b1a1,manual,2.577,804977,..,..,S4916.E1.L1,half,0.136,0.97,PASS
I4870,I4870,VLSC_45,tooth (molar),separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8740,"7045-6535 calBCE (7870±78 BP, PSUAMS-2295 corrected for freshwater marine reservoir effect with Method 1 of Cook et al. 2002 with the modifications recommended by Cook et al. 2011)",M / N,WEHG,Iron_Gates_HG,Yes,Vlasac,Serbia,Europe,44.53368,22.05032,M,K1c,I2,manual,0.858957,619637,..,..,"S4870.E1.L1,S4870.E1.L2","half,half","0.06,0.097","0.993,0.998",PASS (Xcontam=0.009)
I1699,I1699,AG84_5,petrous,separate nuclear and mtDNA target enrichment,no 14C date,LazaridisNature2016,n/a (previously reported),8700,6800-6700 BCE,M / N,PPN,PPNC,Yes,'Ain Ghazal,Jordan,West Asia,31.988,35.976,F,R0a2,n/a (female),n/a (female),0.309,292851,n/a (female),n/a (female),S1699.E1.L1,half,..,0.968,PASS
I4582,I4582,OSTCOR_32,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8697,"7021-6473 calBCE [7812±69 BP, freshwater reservoir correction using Method 1 of Cook et al. 2002 using ORAU _15N value for 8302±32 BP which is a weighted average of (8305±50 BP, OxA-31598), (8300±40 BP, PSUAMS-1749), (8335±45 BP, PSUAMS-1904)]",M / N,WEHG,Iron_Gates_HG,Yes,Ostrovul Corbului,Romania,Europe,44.517,22.722,F,K1,n/a (female),n/a (female),2.188724,930179,n/a (female),n/a (female),"S4582.E1.L2,S4582.E1.L3,S4582.E1.L4,S4582.E1.L5","half,half,half,half","0.086,0.087,0.085,0.092","0.997,0.985,0.991,0.996",PASS
I5411,I5411,SCCL_12,tooth (molar),separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),8600,7000-6300 BCE,M / N,WEHG,Iron_Gates_HG,Yes,Schela Cladovei,Romania,Europe,44.629711,22.6125561,M,U5a1c1,R1b1a(xR1b1a1a,manual,1.141,716414,..,..,S5411.E1.L1,half,0.13,1,PASS
I4874,I4874,VLSC_H232,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8506,"6636-6476 calBCE (7725±40 BP, OxA-20702)",M / N,WEHG,Iron_Gates_HG,Yes,Vlasac,Serbia,Europe,44.53368,22.05032,F,U5b2a1a,n/a (female),n/a (female),3.616,801500,n/a (female),n/a (female),S4874.E1.L1,half,0.092,0.994,PASS
I4877,I4877,VLSC_H327,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8505,"6645-6465 calBCE (7728±51 BP, PSUAMS-2382 corrected for freshwater marine reservoir effect with Method 1 of Cook et al. 2002 with the modifications recommended by Cook et al. 2011)",M / N,WEHG,Iron_Gates_HG,Yes,Vlasac,Serbia,Europe,44.53368,22.05032,F,U5b1d1,n/a (female),n/a (female),4.63,817983,n/a (female),n/a (female),S4877.E1.L1,half,0.109,0.991,PASS
I4550,I4550,"ZVEJ3, burial 52",petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8489,"6601-6476 calBCE (7715±25 BP, PSUAMS-2835)",M / N,Latvia_HG,Latvia_HG,Yes,Zvejnieki,Latvia,Europe,56.2833,25.1333,M,U5b2a1a,Q1a2,manual,4.42,777349,..,..,S4550.E1.L1,half,0.081,0.993,PASS
I4875,I4875,VLSC_H267,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8458,"6615-6400 calBCE (7643±63 BP, PSUAMS-2380 corrected for freshwater marine reservoir effect with Method 1 of Cook et al. 2002 with the modifications recommended by Cook et al. 2011)",M / N,WEHG,Iron_Gates_HG,Yes,Vlasac,Serbia,Europe,44.53368,22.05032,F,U5b1d1a,n/a (female),n/a (female),4.858,815491,n/a (female),n/a (female),S4875.E1.L1,half,0.105,0.986,PASS
I4876,I4876,VLSC_H317,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8455,"6635-6375 calBCE (7625±71 BP, PSUAMS-2381 corrected for freshwater marine reservoir effect with Method 1 of Cook et al. 2002 with the modifications recommended by Cook et al. 2011)",M / N,WEHG,Iron_Gates_HG,Yes,Vlasac,Serbia,Europe,44.53368,22.05032,F,U5a2d,n/a (female),n/a (female),3.368,802136,n/a (female),n/a (female),S4876.E1.L1,half,0.111,0.997,PASS
I4872,I4872,VLSC_9,tooth (molar),separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),8450,7100-5900 BCE,M / N,WEHG,Iron_Gates_HG,Yes,Vlasac,Serbia,Europe,44.53368,22.05032,F,U5a1c,n/a (female),n/a (female),0.367,335500,n/a (female),n/a (female),S4872.E1.L1,half,0.069,1,PASS
I5772,I5772,VLSC_16,tooth (molar),separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),8450,7100-5900 BCE,M / N,WEHG,Iron_Gates_HG,Yes,Vlasac,Serbia,Europe,44.53368,22.05032,M,U5a2a,R1b1a(xR1b1a1a,manual,0.701,446446,..,..,S5772.E1.L1,half,0.104,0.991,PASS
I4871,I4871,VLSC_80A,tooth (molar),separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),8450,7100-5900 BCE,M / N,WEHG,Iron_Gates_HG,Yes,Vlasac,Serbia,Europe,44.53368,22.05032,F,U5b2a1a,n/a (female),n/a (female),0.669,507099,n/a (female),n/a (female),S4871.E1.L1,half,0.091,0.954,PASS
I4881,I4881,VLSC_U64,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8363,"6570-6255 calBCE (7570±63 BP, PSUAMS-2385 corrected for freshwater marine reservoir effect with Method 1 of Cook et al. 2002 with the modifications recommended by Cook et al. 2011)",M / N,WEHG,Iron_Gates_HG,Yes,Vlasac,Serbia,Europe,44.53368,22.05032,M,U4b1b1,I2a2a1b2,manual,3.221,841755,..,..,S4881.E1.L1,half,0.117,0.989,PASS
I5771,I5771,VLSC_6,tooth (molar),separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),8325,6500-6250 BCE,M / N,WEHG,Iron_Gates_HG,Yes,Vlasac,Serbia,Europe,44.53368,22.05032,M,U5a1c1,I,manual,0.249,231969,..,..,S5771.E1.L1,half,0.072,0.999,PASS
I4632,I4632,"ZVEJ32, HG1",petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8308,"6467-6249 calBCE (7525±60 BP, LuS-8220)",M / N,Latvia_HG,Latvia_HG,Yes,Zvejnieki,Latvia,Europe,56.2833,25.1333,F,U5a1c,n/a (female),n/a (female),3.513,785920,n/a (female),n/a (female),S4632.E1.L1,half,0.121,0.985,PASS
I1100,I1100,M11-351,petrous,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2015,n/a (previously reported),8300,6500-6200 BCE,M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,F,K1a or K1a6,n/a (female),n/a (female),0.331,294382,n/a (female),n/a (female),S1100.E1.L1,half,0.231,0.973,PASS
I1102,I1102,M11-354,petrous,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2015,n/a (previously reported),8300,6500-6200 BCE,M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,M,K1a3a,C1a2,manual,0.55,414820,..,..,S1102.E1.L1,half,0.244,1,PASS (Xcontam=0.015)
I1099,I1099,L11-5-488,petrous,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2015,n/a (previously reported),8300,6500-6200 BCE,M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,M,T2b,G2a2a1a2a,manual,0.827,544031,..,..,S1099.E1.L1,half,0.185,1,PASS (Xcontam=0.017)
I1103,I1103,M11-S-350,petrous,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2015,n/a (previously reported),8300,6500-6200 BCE,M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,M,K1b1b1,G2a2a1a2a,manual,1.135,607546,..,..,S1103.E1.L1,half,0.213,0.999,PASS (Xcontam=0.009)
I1101,I1101,M11-352a,petrous,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2015,n/a (previously reported),8300,6500-6200 BCE,M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,M,T2b,H2,manual,1.56,663312,..,..,S1101.E1.L1,half,0.203,0.999,PASS (Xcontam=0.011)
I1096,I1096,BAR26 / M10-76,petrous,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2015,n/a (previously reported),8300,6500-6200 BCE,M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,M,N1a1a1,I2c,manual,2.865,759115,..,..,S1096.E1.L1,half,0.184,0.999,PASS (Xcontam=0.007)
I0736,I0736,L11-216,petrous,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2015,n/a (previously reported),8300,6500-6200 BCE,M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,F,N1a1a1a,n/a (female),n/a (female),2.248,799433,n/a (female),n/a (female),S0736.E1.L1,half,..,0.996,PASS
I1097,I1097,BAR271 / M10-271,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2015,n/a (previously reported),8288,"6424-6251 calBCE (7475±30 BP, PSUAMS-2297)",M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,M,W1-T119C,G2a2b2a3,manual,2.125,755758,..,..,S1097.E1.L1,half,0.162,0.994,PASS (Xcontam=0.011)
I1098,I1098,BAR99 / M10-352,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2015,n/a (previously reported),8288,"6422-6253 calBCE (7475±25 BP, PSUAMS-2947)",M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,F,X2d2,n/a (female),n/a (female),2.994,780873,n/a (female),n/a (female),S1098.E1.L1,half,0.163,0.998,PASS
I1583,I1583,L14-200,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2015,n/a (previously reported),8281,"6426-6236 calBCE (7460±50 BP, Poz-82231)",M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,M,K1a2,G2a2a1a2a,manual,13.544,1023789,..,..,S1583.E1.L1,half,0.13,0.993,PASS (Xcontam=0.008)
I0211,I0211,UzOO40,tooth,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2015,n/a (previously reported),8280,"6773-5886 BCE [other dates in the layer used in the Bayesian modeling analysis we used to obtain this range are (7280±80 BP, OxA-1665), 6410-6050 calBCE (7350±90 BP, OxA-2266), 6390-6030 calBCE (7330±90 BP, OxA-1667), 6590-6240 calBCE (7560±90 BP, OxA-1668), 6590-6240 calBCE (7560±90 BP, OxA-1669), 6360-6000 calBCE (7280±90 BP, OxA-2124), 6530-6210 calBCE (7510±90 BP, OxA-2125), 6850-6410 calBCE (7750±110 BP, OxA-1973), layer date]",M / N,EEHG,Karelia_HG,Yes,"Karelia, Yuzhnyy Oleni Ostrov",Russia,Forest / Steppe,61.65,35.65,M,U4a,J,manual,0.136,146885,..,..,S1254.L1,half,..,0.999,PASS
I0061,I0061,UzOO74,tooth,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015),n/a (previously reported),8280,"6773-5886 BCE [other dates in the layer used in the Bayesian modeling analysis we used to obtain this range are (7280±80 BP, OxA-1665), 6410-6050 calBCE (7350±90 BP, OxA-2266), 6390-6030 calBCE (7330±90 BP, OxA-1667), 6590-6240 calBCE (7560±90 BP, OxA-1668), 6590-6240 calBCE (7560±90 BP, OxA-1669), 6360-6000 calBCE (7280±90 BP, OxA-2124), 6530-6210 calBCE (7510±90 BP, OxA-2125), 6850-6410 calBCE (7750±110 BP, OxA-1973), layer date]",M / N,EEHG,Karelia_HG,Yes,"Karelia, Yuzhnyy Oleni Ostrov",Russia,Forest / Steppe,61.65,35.65,M,C1,R1a1,manual,5.272,1025148,..,..,"S0230.L1,S0393.L1,S0670.L1","plus,plus,half","..,..,..","0.995,0.999,0.996",PASS (Xcontam=0.005)
I0744,I0744,M10-275,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2015,n/a (previously reported),8273,"6402-6243 calBCE (7455±30 BP, PSUAMS-2299)",M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,M,J1c11,G2a2b2a,manual,2.39,884258,..,..,S0744.E1.L1,half,..,0.994,PASS (Xcontam=0.01)
I1581,I1581,L12-502,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2015,n/a (previously reported),8254,"6376-6231 calBCE (7415±30 BP, PSUAMS-2104)",M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,F,U3,n/a (female),n/a (female),3.763,892187,n/a (female),n/a (female),S1581.E1.L1,half,0.149,0.986,PASS
I0745,I0745,M11-363,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2015,n/a (previously reported),8251,"6374-6227 calBCE (7405±30 BP, PSUAMS-2105)",M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,M,U8b1b1,H2,manual,7.785,996769,..,..,S0745.E1.L1,half,..,0.995,PASS (Xcontam=0.008)
I1580,I1580,L12-393,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2015,n/a (previously reported),8195,"6387-6103 calBCE (7385±40 BP, PSUAMS-1964)",M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,F,H5,n/a (female),n/a (female),4.906,974979,n/a (female),n/a (female),S1580.E1.L1,half,0.113,0.992,PASS
I1960,I1960,"Tyumen50, Kurgan 6, Mergen 6 (building No. 15)",petrous,separate nuclear and mtDNA target enrichment,"6335-6071 calBCE (7330±40 BP, Poz-82198); 6361-6086 calBCE (7355±40 BP, OxA-33489, d15N=+15.3 permil possible marine influence)",This study,"Sergey Mikhailovich Slepchenko, Anatoly Nikolaevich Bagashev, Dmitry Enshin",8166,"6361-6071 calBCE [6335-6071 calBCE (7330±40 BP, Poz-82198), 6361-6086 calBCE (7355±40 BP, OxA-33489, d15N=+15.3 permil possible marine influence)]",N,WSHG,Tyumen_HG,Yes,"Siberia, western, Tyumen Oblast",Russia,Forest / Steppe,56.03622222,69.33886111,F,U2e3,n/a (female),n/a (female),5.346,805830,n/a (female),n/a (female),S1960.E1.L1,half,0.053,0.997,PASS
I5402,I5402,HJDK_15(1),tooth (molar),separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8156,"6361-6050 calBCE (7315±63 BP, OxA-16942, corrected for Freshwater Reservoir Effect)",M / N,WEHG,Iron_Gates_HG,Yes,Hajduka Vodenica,Serbia,Europe,44.640262,22.30333,M,U5a1c1,I2a2a1b,manual,1.68,823880,..,..,S5402.E1.L1,half,0.065,0.999,PASS (Xcontam=0.009)
I4914,I4914,HJDK_19-20(1),petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8123,"6355-5990 calBCE (7264±80 BP, OxA-16941, on Burial 20 - skull]",M / N,WEHG,Iron_Gates_HG,Yes,Hajduka Vodenica,Serbia,Europe,44.640262,22.30333,M,U5a1c1,I2a2a1b2,manual,2.94,824939,..,..,S4914.E1.L1,half,0.097,0.99,PASS (Xcontam=0.007)
I4915,I4915,HJDK_21,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8115,"6340-5990 calBCE (7260±76 BP, PSUAMS-2360 corrected for freshwater marine reservoir effect with Method 1 of Cook et al. 2002 with the modifications recommended by Cook et al. 2011)",M / N,WEHG,Iron_Gates_HG,Yes,Hajduka Vodenica,Serbia,Europe,44.640262,22.30333,M,U5b2b,I2a2,manual,2.902,834938,..,..,S4915.E1.L1,half,0.077,0.997,PASS (Xcontam=0.005)
I0708,I0708,BAR6 / L11-439,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2015,n/a (previously reported),8097,"6221-6073 calBCE (7285±30 BP, PSUAMS-2103)",M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,M,N1b1a,J2a,manual,6.948,980130,..,..,S0708.E1.L1,half,..,0.983,PASS (Xcontam=0.008)
I0709,I0709,BAR20/ M13-170,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2015,n/a (previously reported),8086,"6215-6056 calBCE (7255±30 BP, PSUAMS-2952)",M / N,Anatolia_N,Anatolia_N,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,M,U3,H2,manual,9.765,987745,..,..,S0709.E1.L1,half,..,0.996,PASS (Xcontam=0.008)
I4917,I4917,HJDK_33,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8058,"6220-5995 calBCE (7209±57 BP, PSUAMS-2374 corrected for freshwater marine reservoir effect with Method 1 of Cook et al. 2002 with the modifications recommended by Cook et al. 2011)",M / N,WEHG,Iron_Gates_HG,Yes,Hajduka Vodenica,Serbia,Europe,44.640262,22.30333,F,U5a1c,n/a (female),n/a (female),2.696,789618,n/a (female),n/a (female),S4917.E1.L1,half,0.133,0.966,PASS
I5233,I5233,PADN_5,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),8001,"6224-5878 calBCE (7158±85 BP, AA-57770, corrected for Freshwater Reservoir Effect) ",M / N,WEHG,Iron_Gates_HG,Yes,Padina,Serbia,Europe,44.595879,22.010568,F,U5b1d1,n/a (female),n/a (female),2.644,824280,n/a (female),n/a (female),S5233.E1.L1,half,0.132,0.99,PASS
I4596,I4596,"ZVEJ9, burial 49",petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),7976,"6061-5990 calBCE (7150±25 BP, PSUAMS-2839)",M / N,Latvia_HG,Latvia_HG,Yes,Zvejnieki,Latvia,Europe,56.2833,25.1333,M,U5a2d,I2a2a1b,manual,4.379,826812,..,..,S4596.E1.L1,half,0.104,0.992,PASS (Xcontam=0.005)
